asset_type,category,name,platform,hook,post,cta,install_command,repo_url
skill,Operating system,marketing-os,LinkedIn / X,Your AI agent can now run marketing like an operating system.,"The `marketing-os` skill orchestrates the full library across strategy, demand, conversion, pipeline, retention, measurement, and assets. It helps Claude Code, OpenAI Codex, Cursor, Windsurf, and Agent Skills-compatible agents choose the right workflow instead of guessing which marketing task comes next.",Install it: npx skills add scayver/marketing-skills --skill marketing-os. Star the repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills --skill marketing-os,https://github.com/scayver/marketing-skills
skill,Paid advertising and measurement,ab-testing,LinkedIn / X,Your AI agent can now handle A/B Testing like a specialist.,"Most agents give generic advice when you ask for A/B Testing. The `ab-testing` skill gives Claude Code, OpenAI Codex, Cursor, Windsurf, and other Agent Skills-compatible agents a structured workflow for planning, designing, or analyzing A/B tests and growth experiments. Install Marketing Skills OS, start with `product-marketing`, then ask your agent to use `ab-testing` for the job.",Install it: npx skills add scayver/marketing-skills --skill ab-testing. Star the repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills --skill ab-testing,https://github.com/scayver/marketing-skills
skill,Paid advertising and measurement,ad-creative,LinkedIn / X,Your AI agent can now handle Ad Creative like a specialist.,"Most agents give generic advice when you ask for Ad Creative. The `ad-creative` skill gives Claude Code, OpenAI Codex, Cursor, Windsurf, and other Agent Skills-compatible agents a structured workflow for generating, iterating, or scaling ad creative for any paid platform. Install Marketing Skills OS, start with `product-marketing`, then ask your agent to use `ad-creative` for the job.",Install it: npx skills add scayver/marketing-skills --skill ad-creative. Star the repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills --skill ad-creative,https://github.com/scayver/marketing-skills
skill,Paid advertising and measurement,ads,LinkedIn / X,Your AI agent can now handle Ads like a specialist.,"Most agents give generic advice when you ask for Ads. The `ads` skill gives Claude Code, OpenAI Codex, Cursor, Windsurf, and other Agent Skills-compatible agents a structured workflow for Use this skill for paid advertising campaign strategy, setup, optimization, and reporting. Install Marketing Skills OS, start with `product-marketing`, then ask your agent to use `ads` for the job.",Install it: npx skills add scayver/marketing-skills --skill ads. Star the repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills --skill ads,https://github.com/scayver/marketing-skills
skill,"Brand, creator, and communications",ai-image-creator,LinkedIn / X,Your AI agent can now handle AI Image Creator like a specialist.,"Most agents give generic advice when you ask for AI Image Creator. The `ai-image-creator` skill gives Claude Code, OpenAI Codex, Cursor, Windsurf, and other Agent Skills-compatible agents a structured workflow for generate image prompts, plan visual assets, design content for social media, create brand visuals, build product mockups, or develop concept art. Activate when the user mentions ""i. Install Marketing Skills OS, start with `product-marketing`, then ask your agent to use `ai-image-creator` for the job.",Install it: npx skills add scayver/marketing-skills --skill ai-image-creator. Star the repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills --skill ai-image-creator,https://github.com/scayver/marketing-skills
skill,SEO and discovery,ai-seo,LinkedIn / X,Your AI agent can now handle AI SEO like a specialist.,"Most agents give generic advice when you ask for AI SEO. The `ai-seo` skill gives Claude Code, OpenAI Codex, Cursor, Windsurf, and other Agent Skills-compatible agents a structured workflow for optimizing content to appear in AI-generated answers, be cited by LLMs, or rank in AI search engines. Install Marketing Skills OS, start with `product-marketing`, then ask your agent to use `ai-seo` for the job.",Install it: npx skills add scayver/marketing-skills --skill ai-seo. Star the repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills --skill ai-seo,https://github.com/scayver/marketing-skills
skill,Paid advertising and measurement,analytics,LinkedIn / X,Your AI agent can now handle Analytics like a specialist.,"Most agents give generic advice when you ask for Analytics. The `analytics` skill gives Claude Code, OpenAI Codex, Cursor, Windsurf, and other Agent Skills-compatible agents a structured workflow for Use this skill for setting up, auditing, or improving marketing analytics tracking. Install Marketing Skills OS, start with `product-marketing`, then ask your agent to use `analytics` for the job.",Install it: npx skills add scayver/marketing-skills --skill analytics. Star the repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills --skill analytics,https://github.com/scayver/marketing-skills
skill,SEO and discovery,aso,LinkedIn / X,Your AI agent can now handle Aso like a specialist.,"Most agents give generic advice when you ask for Aso. The `aso` skill gives Claude Code, OpenAI Codex, Cursor, Windsurf, and other Agent Skills-compatible agents a structured workflow for Use this skill for App Store Optimization on iOS App Store and Google Play. Install Marketing Skills OS, start with `product-marketing`, then ask your agent to use `aso` for the job.",Install it: npx skills add scayver/marketing-skills --skill aso. Star the repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills --skill aso,https://github.com/scayver/marketing-skills
skill,"Brand, creator, and communications",brand-storytelling,LinkedIn / X,Your AI agent can now handle Brand Storytelling like a specialist.,"Most agents give generic advice when you ask for Brand Storytelling. The `brand-storytelling` skill gives Claude Code, OpenAI Codex, Cursor, Windsurf, and other Agent Skills-compatible agents a structured workflow for build or refine a brand identity, craft a brand story, write an About Page, develop a customer avatar, check brand voice consistency, or create a value proposition. Activate when t. Install Marketing Skills OS, start with `product-marketing`, then ask your agent to use `brand-storytelling` for the job.",Install it: npx skills add scayver/marketing-skills --skill brand-storytelling. Star the repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills --skill brand-storytelling,https://github.com/scayver/marketing-skills
skill,Strategy and research,business-strategy,LinkedIn / X,Your AI agent can now handle Business Strategy like a specialist.,"Most agents give generic advice when you ask for Business Strategy. The `business-strategy` skill gives Claude Code, OpenAI Codex, Cursor, Windsurf, and other Agent Skills-compatible agents a structured workflow for develop a business idea, build a business plan, map a customer journey, validate product-market fit, design a launch strategy, plan a pivot, or optimize the customer experience. Ac. Install Marketing Skills OS, start with `product-marketing`, then ask your agent to use `business-strategy` for the job.",Install it: npx skills add scayver/marketing-skills --skill business-strategy. Star the repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills --skill business-strategy,https://github.com/scayver/marketing-skills
