day,theme,asset_type,category,name,hook,post,cta,install_command
1,Launch,skill,Operating system,marketing-os,Your AI agent can now run marketing like an operating system.,"The `marketing-os` skill orchestrates the full library across strategy, demand, conversion, pipeline, retention, measurement, and assets. It helps Claude Code, OpenAI Codex, Cursor, Windsurf, and Agent Skills-compatible agents choose the right workflow instead of guessing which marketing task comes next.",Install it: npx skills add scayver/marketing-skills --skill marketing-os. Star the repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills --skill marketing-os
2,Skill,cli,Developer Intent,github-prospects,`github-prospects.js` turns agent advice into executable marketing ops.,"This zero-dependency Node.js CLI gives your agent a practical helper for developer intent command-line helper for GitHub. It outputs JSON, supports scriptable workflows, and fits Claude Code, OpenAI Codex, Cursor, and Windsurf projects where marketing work needs real platform actions instead of another checklist.",Try it: `node tools/clis/github-prospects.js --dry-run`. Install Marketing Skills OS: npx skills add scayver/marketing-skills. Repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills
3,Integration,skill,Strategy and research,product-marketing,Your AI agent can now handle Product Marketing like a specialist.,"Most agents give generic advice when you ask for Product Marketing. The `product-marketing` skill gives Claude Code, OpenAI Codex, Cursor, Windsurf, and other Agent Skills-compatible agents a structured workflow for Create and maintain a product marketing context document covering positioning, ICP definition, messaging hierarchy, competitive differentiation, and value proposition. This skill c. Install Marketing Skills OS, start with `product-marketing`, then ask your agent to use `product-marketing` for the job.",Install it: npx skills add scayver/marketing-skills --skill product-marketing. Star the repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills --skill product-marketing
4,CLI,skill,SEO and discovery,seo-content-strategy,Your AI agent can now handle SEO Content Strategy like a specialist.,"Most agents give generic advice when you ask for SEO Content Strategy. The `seo-content-strategy` skill gives Claude Code, OpenAI Codex, Cursor, Windsurf, and other Agent Skills-compatible agents a structured workflow for improve organic search rankings, plan SEO content, analyze competitors, generate keyword strategies, write or optimize meta tags, create content briefs, repurpose blog content into. Install Marketing Skills OS, start with `product-marketing`, then ask your agent to use `seo-content-strategy` for the job.",Install it: npx skills add scayver/marketing-skills --skill seo-content-strategy. Star the repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills --skill seo-content-strategy
5,Workflow,skill,Conversion rate optimization,landing-page-cro,Your AI agent can now handle Landing Page CRO like a specialist.,"Most agents give generic advice when you ask for Landing Page CRO. The `landing-page-cro` skill gives Claude Code, OpenAI Codex, Cursor, Windsurf, and other Agent Skills-compatible agents a structured workflow for audit or improve a landing page, write conversion-focused copy, optimize CTAs, build an FAQ schema block, translate features into benefits, or maximize conversions on any specific. Install Marketing Skills OS, start with `product-marketing`, then ask your agent to use `landing-page-cro` for the job.",Install it: npx skills add scayver/marketing-skills --skill landing-page-cro. Star the repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills --skill landing-page-cro
6,Founder,skill,Sales and go-to-market,email-marketing,Your AI agent can now handle Email Marketing like a specialist.,"Most agents give generic advice when you ask for Email Marketing. The `email-marketing` skill gives Claude Code, OpenAI Codex, Cursor, Windsurf, and other Agent Skills-compatible agents a structured workflow for write, optimize, or repurpose email marketing campaigns, sequences, newsletters, or individual emails. Activate when the user mentions ""email sequence,"" ""email campaign,"" ""email ma. Install Marketing Skills OS, start with `product-marketing`, then ask your agent to use `email-marketing` for the job.",Install it: npx skills add scayver/marketing-skills --skill email-marketing. Star the repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills --skill email-marketing
7,Recap,skill,"Brand, creator, and communications",linkedin-strategy,Your AI agent can now handle Linkedin Strategy like a specialist.,"Most agents give generic advice when you ask for Linkedin Strategy. The `linkedin-strategy` skill gives Claude Code, OpenAI Codex, Cursor, Windsurf, and other Agent Skills-compatible agents a structured workflow for build a personal brand on LinkedIn, write LinkedIn posts, optimize a LinkedIn profile, craft connection request messages, create company page content, generate LinkedIn headlines. Install Marketing Skills OS, start with `product-marketing`, then ask your agent to use `linkedin-strategy` for the job.",Install it: npx skills add scayver/marketing-skills --skill linkedin-strategy. Star the repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills --skill linkedin-strategy
8,Launch,skill,SEO and discovery,local-seo,Your AI agent can now handle Local SEO like a specialist.,"Most agents give generic advice when you ask for Local SEO. The `local-seo` skill gives Claude Code, OpenAI Codex, Cursor, Windsurf, and other Agent Skills-compatible agents a structured workflow for improve local search visibility, write location-based landing pages, create service area content, optimize a Google Business Profile, respond to customer reviews, or develop any co. Install Marketing Skills OS, start with `product-marketing`, then ask your agent to use `local-seo` for the job.",Install it: npx skills add scayver/marketing-skills --skill local-seo. Star the repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills --skill local-seo
9,Skill,skill,Content and copy,ecommerce-content,Your AI agent can now handle Ecommerce Content like a specialist.,"Most agents give generic advice when you ask for Ecommerce Content. The `ecommerce-content` skill gives Claude Code, OpenAI Codex, Cursor, Windsurf, and other Agent Skills-compatible agents a structured workflow for write or improve product descriptions, category page copy, product feature highlights, product comparisons, Amazon or Shopify listings, FAQ sections, bundle copy, meta titles, or a. Install Marketing Skills OS, start with `product-marketing`, then ask your agent to use `ecommerce-content` for the job.",Install it: npx skills add scayver/marketing-skills --skill ecommerce-content. Star the repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills --skill ecommerce-content
10,Integration,skill,Sales and go-to-market,prospect-research,Your AI agent can now handle Prospect Research like a specialist.,"Most agents give generic advice when you ask for Prospect Research. The `prospect-research` skill gives Claude Code, OpenAI Codex, Cursor, Windsurf, and other Agent Skills-compatible agents a structured workflow for build prospect lists, research accounts, identify buying signals, map decision-makers, qualify outbound leads, find SaaS developer intent, research B2B trigger events, classify loc. Install Marketing Skills OS, start with `product-marketing`, then ask your agent to use `prospect-research` for the job.",Install it: npx skills add scayver/marketing-skills --skill prospect-research. Star the repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills --skill prospect-research
11,CLI,integration,SEO,ahrefs,Stop making your agent guess how Ahrefs works.,"The `ahrefs` integration guide gives agents a standalone reference for seo platform reference with API ✓, MCP -, CLI -, and SDK - coverage. It is built for API-aware marketing workflows, automation planning, CRM ops, analytics, content systems, and WordPress or SaaS integrations. Open the guide, then let your agent use the auth pattern, operations, fields, limits, and related skills.",Install Marketing Skills OS: npx skills add scayver/marketing-skills. Guide: `tools/integrations/ahrefs.md`. Repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills
12,Workflow,integration,CRM,hubspot,Stop making your agent guess how Hubspot works.,"The `hubspot` integration guide gives agents a standalone reference for crm platform reference with API ✓, MCP ✓, CLI -, and SDK ✓ coverage. It is built for API-aware marketing workflows, automation planning, CRM ops, analytics, content systems, and WordPress or SaaS integrations. Open the guide, then let your agent use the auth pattern, operations, fields, limits, and related skills.",Install Marketing Skills OS: npx skills add scayver/marketing-skills. Guide: `tools/integrations/hubspot.md`. Repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills
13,Founder,integration,Analytics,mailchimp,Stop making your agent guess how Mailchimp works.,"The `mailchimp` integration guide gives agents a standalone reference for analytics platform reference with API ✓, MCP -, CLI -, and SDK ✓ coverage. It is built for API-aware marketing workflows, automation planning, CRM ops, analytics, content systems, and WordPress or SaaS integrations. Open the guide, then let your agent use the auth pattern, operations, fields, limits, and related skills.",Install Marketing Skills OS: npx skills add scayver/marketing-skills. Guide: `tools/integrations/mailchimp.md`. Repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills
14,Recap,integration,Forms,woocommerce,Stop making your agent guess how Woocommerce works.,"The `woocommerce` integration guide gives agents a standalone reference for forms platform reference with API ✓, MCP -, CLI ✓, and SDK ✓ coverage. It is built for API-aware marketing workflows, automation planning, CRM ops, analytics, content systems, and WordPress or SaaS integrations. Open the guide, then let your agent use the auth pattern, operations, fields, limits, and related skills.",Install Marketing Skills OS: npx skills add scayver/marketing-skills. Guide: `tools/integrations/woocommerce.md`. Repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills
15,Launch,integration,Analytics,ga4,Stop making your agent guess how GA4 works.,"The `ga4` integration guide gives agents a standalone reference for analytics platform reference with API ✓, MCP ✓, CLI -, and SDK ✓ coverage. It is built for API-aware marketing workflows, automation planning, CRM ops, analytics, content systems, and WordPress or SaaS integrations. Open the guide, then let your agent use the auth pattern, operations, fields, limits, and related skills.",Install Marketing Skills OS: npx skills add scayver/marketing-skills. Guide: `tools/integrations/ga4.md`. Repo: https://github.com/scayver/marketing-skills.,npx skills add scayver/marketing-skills
